score,genre,review
5.0,Drama,coppola somehow gets to the essence of human wanting with an amazing efficiency of style
3.8,Action,twelve years later the franchise shows unflagging energy inventiveness humor 4 rocks
3.1,Drama,a peculiar and oddly haunting achievement
3.1,Drama,practical magic has just about everything going for it except a decent plot
3.0,Action,what keeps the hunger games catching fire alive and kicking is its transcendent strain of humanity
3.1,Action,as it is with alot of gimmick movies there is just not enough material to even sustain 90 minutes
3.1,Drama,a movie that drudges up the painful feelings associated with 9/11 just to make its routine by the numbers action seem more relevant than it really is thanks but no thanks
2.0,Action,following on from the recent gotti john travolta once again toplines a film which is undeserving of his talents with speed kills
5.0,Drama,chimes at midnight whose very title resounds with awareness of mortality is stylistically a bleak and cold vision with steam often visible on the actors breath in the frigid air
5.0,Drama,a solid thriller wind river represents mature substantive filmmaking at its finest
2.5,Drama,lacking the psychological intimacy afforded by the page daniel alfredsons film wont inspire better than a shrug from audiences
4.0,Drama,beautifully shot quietly gripping thriller with a strong script impressive production design and a terrific central performance from andrew riseborough
4.4,Horror,an undeniably effective adaptation of the shirley jackson novel and remains one of the best haunted house movies
3.1,Action,with such an empty core its hard to love lucy but its also hard to change the channel when it promises wisdom with just a spoonful of vitameatavegamin
3.0,Comedy,this is the enjoyably dumb action movie that mission impossible could (and should) have been
3.8,Drama,at its core susanne biers wrenching portrayal of the shifting dynamics within a danish family is really about survival about how we cope in the face of shattering grief and what well do anything really to save ourselves
2.5,Drama,ronan and arterton are captivating enough but this hybrid drama period piece lacks the zest pace and tension youd expect from a film digging into the repercussions of vampirism
4.4,Action,its an interesting story more accessible to non trekkers than previous entries
5.0,Drama,this film is sometimes funny sometimes joyful and sometimes poignant but its always warm wonderful and satisfying
4.0,Comedy,the worlds end is really about the dangers of nostalgia and how you can never truly go home again even if there hasnt been an alien invasion
5.0,Comedy,simply put the incredibles is!
3.0,Drama,watchable but clunky
1.9,Comedy,a film that keeps its audience at a distance never surprising them at all narratively and barely moving the needle for its characters it is fan fiction in film form
2.0,Comedy,sort of inspired but really lame superhero premise
3.1,Drama,a well intentioned biopic about disability crusader richard pimentel that starts strong but eventually collapses under its weighty sense of responsibility
3.0,Drama,denis villeneuves sequel to ridley scotts 1982 science fiction classic is very much the french canadian filmmakers own work building and maintaining a tension through the individual confronting an uncertain environment
4.0,Action,cult status could beckon for this well made macabre and violent western horror from cinematographer turned director s craig zahler
3.0,Comedy,were you expecting a teen remake of the hands of orlac dont hold your breath
1.9,Drama,paolo sorrentinos tendency to make characters mouthpieces for his petty grievances manifests most strongly as usual in resolutely two dimensional women
2.0,Comedy,the picture moves fast and is an efficient enough action horror with good effects and plenty of violence but its too machine tooled and perfunctory to make you care
3.5,Drama,broadly drawn and artificial except where it counts
2.5,Drama,its fun as far as it goes but that isnt very far
2.0,Drama,by dismembering cravens landmark extremities iliadis celebrates his source for all the wrong reasons
2.0,Drama,a glossy nicholas sparksish wallow
5.0,Drama,beautiful something is a film about connection how we go about it and how we sometimes miss out on it for any number of reasons
3.0,Horror,it depicts what is surely the first recorded instance of the game strip monopoly and would later inspire wet hot american summer and we should all be grateful for that
1.2,Action,sounds like it should be a blast why then is the reality about as fun as chewing on a hand grenade
3.0,Action,the movie essentially becomes little more than cool set pieces  jammed together and interspersed with underdeveloped family strife scenes
2.5,Drama,by the expedited conclusion it all feels less like a peter berg film and just another chapter in will smiths tentpole history of major creative failures
3.0,Drama,smart sad empowering film about a teen coming out
3.5,Comedy,an admirably adult holiday feature that doesnt balk at real feelings
5.0,Drama,all aspects of the movie are top notch especially the digital and animatronic effects used to bring the animals to life
4.4,Comedy,(brigsby bear) is a gentle and kindhearted movie that will embrace you like a good night lullaby
3.1,Comedy,a slight but better than expected comedy featuring winning performances and an agreeability thats hard to resist
3.5,Horror,a slow burn drama that hides its horrific intentions until the brutal final act the rental ultimately fails to nail its landing leaving a decidedly bitter aftertaste in your mouth
2.5,Comedy,storks flutters like a bird with a broken wing it never quite gets off the ground
3.0,Drama,a fine film covering an inexplicably horrible tragedy from greengrass which succeeds despite the choices regarding language both cinematic and spoken
2.5,Horror,the script is simple stuff simpler than the graphic novel which at least managed to devote a page or two to the vampires back story
4.4,Drama,last king is a wonderful compendium of facts and greater truths also a hell of a good movie
4.4,Drama,all in all this buster is something else
2.5,Comedy,overall ghosts offers a couple quick laughs in passing but the movie never seems to generate sparks all in all its a bit like kissing your sister
4.5,Drama,simply brilliant highly recommended! [full review in spanish]
3.5,Horror,once you get past the premise and granted that takes some doing happy death day turns out to be goofy good fun
3.0,Drama,z for zachariah is restrained ambiguous and mercifully free of cgi asking questions rather than presenting you with answers
4.4,Drama,woody allen breaks his recent slump with melinda and melinda his best and most purely enjoyable film in a decade
4.0,Drama,philip noyces direction is elegant and unforced willing to let his admirable leads and the harsh beauty of the country speak for themselves
5.0,Drama,kill bill vol 2 is pure b movie bliss
5.0,Drama,humorous and brutal
3.8,Drama,granted the grandmaster is not a primer on chinese philosophy yet it may score as crossover cinema for wong fans and lee fans
3.2,Drama,its not that tangerine is a bad film (read this rating as more of a recommendation with some reservations); its funny energetic and cements baker as a vital force in american independent cinema
2.0,Drama,the only poetry in this harsh film is in the title
3.0,Comedy,the first real addition to its princess lineup in 15 years and the studios biggest non cg animated movie half a decade it also belatedly brings racial diversity to a signature genre thats been mostly snow white for six decades
2.0,Comedy,the plot is surprisingly short on laughs and over reliant on relentless celebrity cameos
2.5,Drama,whats on your holiday wishlist is there room for a maudlin romantic comedy that brandishes its earnestness like tacky light displays synchronized to trans siberian orchestra
3.5,Drama,its visual magic lies in painterly compositions of foliage clouds architecture and water and its emotional impact comes from the way everyday life is washed in the colors of memory
2.0,Drama,it is so dishonest that the title changing lanes can just as well refer to the cheaply contrived turns in the film
3.8,Drama,camp x ray has cinematic and moral intelligence
3.0,Drama,anyone still doubting johnsons chops as an actor ought to simply dismiss such doubts now hes the single most effective thing about the movie
3.8,Drama,the movie works well while its running although it raises questions that later only mutate in our minds
2.5,Drama,if your spiritual tuning fork doesnt already hum to the song of bernadettes sentimental religiosity this is an overlong (156 minutes) overpious and often kitschy hagiography
3.1,Drama,[it] inevitably lacks the unsettling mystery and the evolving unease of the first one while there are still startling moments there are no surprises
4.4,Comedy,win it all is just the latest stellar collaboration between swanberg and johnson
3.8,Comedy,movies like old school are no masterpieces but a guy like will ferrell is able to somehow lift them up beyond mediocrity into hilarity
3.5,Drama,even those who know how it all transpires will be on the edge of their seats as the track battle mounts to a heart pounding climax
4.0,Horror,great performances power a dark and emotional narrative which erupts into a psychotic trippy nightmare
1.2,Drama,it took three screenwriters to turn steven goulds novel into an unholy mess
3.8,Comedy,has its pleasures which are mild but real
5.0,Drama,lang is at fever pitch although the film is renowned for its architecture and thus has a reputation for being static what makes it seductive is how much organic energy lang and his collaborators put into the imagery
4.0,Drama,a mischievously enthralling trip
2.5,Drama,free state of jones is a bumpy imperfect tale of a troubling time in u s history but it doesnt burn with the urgency of say 12 years a slave or selma
3.1,Drama,a robbers and robbers film that fails to distinguish itself from any of the others
3.8,Horror,theres enough real evidence supporting the theory that kubrick was a genius and thats pretty entertaining all by itself
2.5,Comedy,even if one were willing to overlook the downright aimless storyline theres still the dearth of laughs and muddled character motives to contend with
1.9,Comedy,what does surprise is that the talented ensemble has to cajole this ungainly movie along even as it changes its mind about whether it wants to be a romantic comedy a lighthearted bromance
0.6,Comedy,the nadir of homophobic frat boy humor
1.2,Drama,between 3 d and regular viewing the only way to see step up 3d is not to
3.8,Drama,the imitation game leaves turings essential mysteries intact but they will nonetheless find even the most public contours his story ripe with drama excitement and deeply affecting resonance
4.0,Action,its edgy tone and dark atmosphere coupled with its comic book theatrics make it a winning combination for older children and adults alike
2.5,Horror,drenched in cliché and threatens to be completely drab until its saved by its frightening finale
1.2,Drama,another expensive throwaway aimed at milking money out of people who still read comic books color it stupid
2.5,Drama,the script however is the main issue trying but largely failing to flesh out its peripheral characters and their respective domestic lives
4.0,Drama,[a] terrifically human account of a young dominican pitchers discomfiting odyssey from his tiny village to a major league training camp to a ball in the american midwest
3.0,Action,its not groundbreaking but kids who enjoyed the original peter pan should welcome a trip back to neverland
3.5,Drama,a well made movie crammed with action humor and heart along with ample servings of the directors trademark graphic violence
3.5,Horror,a decent psychological mystery filled with paranoia and delusions which messes with your head and demands that you keep thinking about it even after youve left the theatre
4.4,Drama,the imitation game is both an education and a pleasure and another chance to revel in what cumberbatch can convey in eloquent silence
0.6,Comedy,perhaps the filmmakers deserve credit for their one show of restraint no jokes in this movie have been made at the expense of justin bieber
3.1,Drama,that the film works as well as it does or at all is largely due to the old fashioned appeal of the story and its likable cast
4.0,Drama,a comedy that proves that succeeding in an intimate relationship after divorce takes the patience and kindness of a saint and the creative daring and courage of a mountain climber
3.5,Drama,call it lost in translation with more sports
1.9,Drama,scored to a relentless mix of spanish and english pop anthems cut like a grudge freak out and performed with all the gusto of a chespirito skit
5.0,Comedy,the movie is a triumph of mood over character
2.5,Action,gory but pedestrian reboot
3.5,Drama,the film is at its best as a portrait of a generation [full review in spanish]
4.0,Drama,this taut iranian thriller recalls the work of alfred hitchcock claude chabrol and brian de palma
2.5,Horror,this sequels requisite film geek character keeps espousing the idea that reboots are nothing more than lame tired rip offs of the original scream 4 seems to have been made entirely to prove that point
2.0,Drama,its a beguiling combination at first but the surrounding story is too clunky the revelations too telegraphed
4.0,Horror,stands out thanks to the assured direction of mike flanagan and performances that sell the drama along with the dread
2.0,Comedy,in a vacuum wong and park are both pretty fun and delightful not together they have a profound lack of chemistry
