score,genre,review
1.9,Comedy,as for the resolution of the romantic triangle angle  well lets just say that the filmmakers would have been hard pressed to come up with a worst ending
3.1,Comedy,it is a fizzy champagne cocktail that provides a pleasant buzz many smiles and jude law with the role of his career
4.0,Comedy,american micro budget auteur aaron katz makes a delightful leap forward with this slouchy deadbeat mystery yarn
4.5,Comedy,the grand budapest hotel is a marvelous spectacle
0.5,Comedy,ultimately if you want to choke on a narrative that is rife with cliches and devoid of any real moral message then stick after the ball on if not there are surely more productive things you can do such as watching paint dry
2.5,Comedy,its wit and subversive charm get lost in a maze of mixed signals
5.0,Comedy,working with this brutal charmer will reap endless rewards
4.0,Comedy,even as streeps face ignites in a glow of deluded rapture a disquieting sense of guilt creeps over us we like florence and we cant help sharing her husbands dread that some day somehow the elaborate jig will be up
3.1,Comedy,like most kevin smith movies there are pacing problems that could be fixed by carving out about 15 minutes but theres also fun to be had
3.1,Horror,a stylish thriller that generally fares better than the majority of similarly themed horror endeavors
4.4,Comedy,the obviousness of the humour is fine because the tone is so old fashioned
3.8,Comedy,in clooney the descendants has a backbone of anguish and basic human decency
3.0,Comedy,audiences high on popcorn fumes will laugh along at the smut but at its core this is a spiritually empty vessel trying to make a lot of box office noise blazing saddles (1974) or cat ballou (1965) it aint
3.1,Comedy,the actors delight even if the script does not or at least not much
3.5,Comedy,call it cuckoo light with a pg 13 appropriate amount of angst and just enough laughs and creativity to keep your attention
3.1,Comedy,the chemistry among the four leads is still strong and it needs to be to carry us through this largely uninspired story
2.5,Comedy,the doting mother jokes are all familiar but rendered with an earnest quality as though a parent offspring mediation group is to convene after the film ends
3.1,Comedy,consists of mistaken identity screwball nonsense slapstick gags and yawning sentimentality the feel is close to that of a weeknight sitcom with jokes that seem as though they should be accompanied by a laugh track
3.1,Comedy,if every artists misfires were this strong life would be almost too wonderful to bear
3.2,Comedy,its more than comedy that winterbottom and his stars are digging for its the fiber of the relationship
3.0,Comedy,there are some laughs here and there but with some very long gaps in between
4.4,Comedy,a comedic tragic look at a man alone
3.2,Comedy,sing mostly just checks the boxes and maybe does enough to be an okay film
2.0,Comedy,a heavy handed political message a glacial pace and a lack of both horror and comedy prevent this one from actually ruling
2.5,Comedy,has its charms to be sure but could have only been improved with a creative retooling its central concept is so good it is a shame to watch as it falls by the wayside
4.5,Horror,has any horror movie equalled it in the past 22 years perhaps but if only one super gory flick is ever considered worthy enough for the academys top prize im fine with this being it
3.1,Comedy,my old lady doesnt break any new ground and sometimes feels too much like a play but its actors help smooth over some of its more predictable patches with their estimable charm
3.1,Horror,give quarantine credit without resorting to computer generated monsters or supernatural explanations it uses consistent logic and confinement to find new ways of being scary
2.5,Comedy,dreamworks latest is a lusciously mounted but simple minded adventure that wont long linger in your memory
4.4,Comedy,the hypocrisies contradictions tensions and opportunities of what naively has been described as the post racial america of the obama era are examined with refreshing wit and candor
3.8,Horror,a trippy unsettling experience with a clear eye for mesmerizing visuals genre fans grown weary by todays mainstream spate owe it to themselves to seek out this grim creatively sumptuous unapologetically chilling indie effort
2.5,Comedy,like mr and mrs smith without the action or the break up with less depth if thats even possible
2.0,Comedy,david gordon greens latest beer soakage comedy contains one just one reminder of what made him a hugely promising independent filmmaker a decade ago
1.0,Comedy,one of the most awful movies (if you could even call it a movie) this year
2.5,Comedy,cute mexico city mariachi flavored romance hampered by a tepid story and weak chemistry between the leads
1.1,Horror,the whole thing is a likability vacuum
3.0,Comedy,flypaper has enough twists and surprises to remain interesting in a closed room agatha christie kind of way but its never quite as clever or as hip as it thinks it is
4.0,Horror,trainspotting director danny boyles digital video zombie flick turns old cliches into grim shiny new horrors
2.5,Comedy,a generic family comedy unlikely to be appreciated by anyone outside the under 10 set
2.0,Comedy,zoolander began as a television sketch and ideas are clearly starting to run thin
4.4,Comedy,not the best of the most recent disney upswing but certainly an entertaining achievement
3.8,Comedy,when you get beyond her adorable looks faris is a hilarious comic actress
4.0,Comedy,really head twisting adaptation of the play with fine work from oldman and roth
2.5,Comedy,reiner is guilty of either mishandling his material on a grand scale or of not recognizing that the script starts with a dynamite idea but runs dry on page two
2.0,Horror,oh no not another found footage movie you think and unfortunately for the makers of the preposterously plotted the gallows a formulaic would be horror flick set in a high school thats exactly what i was thinking 80 minutes later
2.5,Horror,winston has a strong visual sense and a surprisingly good feel for character development
4.4,Comedy,in fact we think we know mildred as a classic american movie type a deeply wronged person on a relentless quest for justice because she is righteous and because she is frances mcdormand we are reflexively with her in this
3.0,Comedy,it is a slight romantic comedy given heft by the excellence of the two leads and smartly scripted by writer director nicole holofcener
4.0,Comedy,it looks like it was a hoot to make
2.0,Horror,i remain bewildered as to why this alleged horror series keeps creating low budget action flicks rather than focusing on the scares
3.8,Comedy,as a comedy couple [aniston] and sudeikis arent exactly cheech and chong but their well matched timing and clashing attitudes often create comic sparks that erupt into laughter
3.5,Comedy,burn your maps is filled with adventure and a whole lot of heart the plot is a bit too fantastical but the strength of the performances grounds the narrative when needed
4.5,Comedy,linney and hoffman deliver two more creatively textured performances in this story about the strain and comfort of family relationships
3.8,Comedy,the film is carried by its charismatic stars john cho as harold and kal penn as kumar kumar plays laurel to harolds hardy continually getting the pair into messes cho is a marvel at displaying exasperation his face contorting into a frown
1.9,Comedy,a profoundly confused bit of corporate propaganda
4.4,Horror,a quiet place is a jalapeño popper of a movie fast filling and punchy and a likable throwback to the films of m night shyamalan the good ones anyway
2.5,Comedy,fractious family friendly and funky its nevertheless cutsey charmless expect an inevitable threequel
2.0,Horror,the only thing about this movie that really made me shudder is that we are probably going to be deluged with a bunch of crappy sequels for it
2.0,Horror,the films downbeat switchback ending is neither convincing nor earned
2.5,Comedy,on the whole though may in the summer just never distinguishes itself in any way that isnt superficial
3.8,Comedy,nothing much happens in welcome to mooseport but for a little less than two hours you can take a vacation with some very companionable people in a truly nice place
0.6,Horror,the movies uninteresting characters boneheaded dialogue and flagrantly nonsensical narrative detract considerably from the virtues of the visual design
2.0,Comedy,unfortunately for the most part it feels like the sleepwalking dead
4.0,Horror,what likely will rejuvenate the career of former a list filmmaker m night shyamalan becomes a genuine creepy crawly thriller around a remarkable performance by james mcavoy
3.0,Horror,has just enough charm (not to mention a sense of its own ridiculousness) to stay afloat
2.5,Comedy,a murphys law thanksgiving comedy in which both the meal and the movie have a hard time coming together
3.0,Horror,has the atmosphere style and sturdy characterisation needed to tempt you along for the jaunt but it doesnt have enough fresh scares or potent revelations to stick much less soften the sense that weve been lost in trees like these before
3.8,Comedy,what makes paul fascinating isnt how pathetic he is its how dignified he thinks he is and how that knit blue cap with ny on the front gives his life meaning
0.0,Comedy,this vapid vulgar insult to the intelligence couldnt possibly have been tested on any focus groups can we all now agree that weve reached the cinematic saturation point with the rapidly expiring scary movie franchise
